Windows Server,199
WebMethods Long Live Full Environment,115
Linux Server Long Lived,88
EDP Developer Sandbox,70
MAGIC Bonus Developer Sandbox,45
Linux Server Self Managed,41
CMP Developer Sandbox,41
Docker on Linux,40
CN 2 Tier Ngnix Hybris,31
Windows Evaluation Server,28
Red Prairie,26
Linux Eval Server,19
VS 2015 Test Agent,16
MAGIC DMS Developer Sandbox,16
PostgreSQL Open Source Database - Long Lived,15
CN 2 Tier Nginx Hybris - Update App,13
Windows Remote Desktop Server,13
Delphix Oracle Target,11
MagicCloud Bonus MVP,11
Oracle Database Long Lived,11
CN DB Cluster Solr Redis RHEL 71,10
Windows Pre-Production Server,10
