Windows Server,193
WebMethods Long Live Full Environment,115
Linux Server Long Lived,84
EDP Developer Sandbox,66
MAGIC Bonus Developer Sandbox,45
Docker on Linux,41
Linux Server Self Managed,40
CMP Developer Sandbox,39
CN 2 Tier Ngnix Hybris,31
Windows Evaluation Server,30
Red Prairie,28
Linux Eval Server,18
MAGIC DMS Developer Sandbox,16
VS 2015 Test Agent,15
PostgreSQL Open Source Database - Long Lived,15
CN 2 Tier Nginx Hybris - Update App,13
MagicCloud Bonus MVP,11
Windows Pre-Production Server,10
CN DB Cluster Solr Redis RHEL 71,10
Delphix Oracle Target,9
Linux Server (RHEL 6.7),9
Windows Remote Desktop Server,9
Linux Server (RHEL 7.2),8
Oracle Database Long Lived,8
MS SQL 2014 Eval (IaaS),7
VS 2015 Test Controller,7
Windows DMZ Server,6
Windows Server 1.5.0 Adv - Prod,6
CN OS  RHEL 71,6
SQL Server Long-Lived,4
.Net Developer Sandbox,4
Windows Server Advanced,4
CN OS  RHEL 64,4
CN OS  RHEL 72 For Docker Slave,3
CN DB Oracle RHEL 64,3
CN OS Win2012 R2 STD EN,3
CN APP Hybris RHEL 71,2
CN DB Oracle RHEL 71 ,2
RedHat Enterprise Linux v6.7 - LL,2
RedHat Enterprise Linux v7.2 - LL,2
Linux Eval (RHEL 7.2) Server,2
RedHat Enterprise Linux v7.2 - LL DEV,2
MS SQL 2014 (IaaS) Long-Lived,2
MagicCloud DMS MVP,1
Tomcat on Docker,1
MariaDB Open Source Edition - Evaluation Test,1
Linux Server (RHEL 7.3),1
RedHat Enterprise Linux v6.7 - LL DEV,1
MS SQL Eval (IaaS),1
MariaDB Open Source Edition - Evaluation,1
Linux Eval (RHEL 6.7) Server,1
Oracle Database,1
